Date,Open,High,Low,Close,Volume
02/01/2014,555.68,557.03,552.021,553.13,8381600
03/01/2014,552.86,553.7,540.43,540.98,14016700
06/01/2014,537.45,546.8,533.6,543.93,14736100
07/01/2014,544.32,545.96,537.925,540.0375,11328900
08/01/2014,538.81,545.56,538.69,543.46,9233200
09/01/2014,546.8,546.86,535.3501,536.519,9969600
10/01/2014,539.83,540.8,531.11,532.94,10892000
13/01/2014,529.91,542.5,529.88,535.73,13517600
14/01/2014,538.22,546.73,537.66,546.39,11877200
15/01/2014,553.52,560.2,551.66,557.36,13987100
16/01/2014,554.9,556.85,551.68,554.25,8188500
17/01/2014,551.48,552.07,539.9,540.67,15240700
21/01/2014,540.99,550.07,540.42,549.07,11733100
22/01/2014,550.9147,557.29,547.81,551.51,13570900
23/01/2014,549.94,556.5,544.8064,556.18,14401400
24/01/2014,554,555.62,544.75,546.07,15334100
27/01/2014,550.07,554.8,545.75,550.5,19817100
28/01/2014,508.76,515,502.07,506.5,38054400
29/01/2014,503.95,507.37,498.62,500.75,17957500
30/01/2014,502.54,506.5,496.7,499.782,24232200
31/01/2014,495.18,501.53,493.55,500.6,16599900
03/02/2014,502.61,507.73,499.3,501.53,14338000
04/02/2014,505.85,509.46,502.76,508.79,13452900
05/02/2014,506.56,515.28,506.2519,512.59,11726600
06/02/2014,510.06,513.5,507.81,512.51,9205900
07/02/2014,521.38,522.9299,517.38,519.68,13224300
10/02/2014,518.66,531.99,518,528.99,12341400
11/02/2014,530.61,537.75,529.5,535.96,10080600
12/02/2014,536.95,539.56,533.24,535.92,11003600
13/02/2014,534.66,544.85,534.2,544.43,10978500
14/02/2014,542.47,545.9799,541.21,543.99,9747300
18/02/2014,546,551.19,545.61,545.99,9294700
19/02/2014,544.75,546.89,534.35,537.37,11206000
20/02/2014,532.99,537,529,531.15,10923500
21/02/2014,532.7927,534.57,524.6,525.25,9956600
24/02/2014,523.15,529.9199,522.42,527.55,10318200
25/02/2014,529.38,529.565,521,522.06,8284000
26/02/2014,523.61,525,515.6,517.35,9864900
27/02/2014,517.14,528.78,516.05,527.67,10781500
28/02/2014,529.08,532.75,522.12,526.24,13284600
03/03/2014,523.42,530.65,522.81,527.76,8527900
04/03/2014,531,532.64,527.77,531.24,9255000
05/03/2014,530.92,534.75,529.13,532.36,7145100
06/03/2014,532.79,534.4399,528.1,530.75,6624600
07/03/2014,531.09,531.98,526.05,530.44,7883200
10/03/2014,528.36,533.33,528.3391,530.92,6378000
11/03/2014,535.45,538.74,532.59,536.09,9972300
12/03/2014,534.51,537.35,532,536.61,7118800
13/03/2014,537.44,539.66,529.16,530.65,9205100
14/03/2014,528.79,530.89,523,524.69,8471400
17/03/2014,527.7,529.97,525.85,526.74,7126600
18/03/2014,525.9,531.97,525.2001,531.4,7487400
19/03/2014,532.26,536.24,529,531.26,8027000
20/03/2014,529.89,532.67,527.35,528.7,7442800
21/03/2014,531.93,533.75,526.33,532.87,13358800
24/03/2014,538.42,540.5,535.06,539.19,12703600
25/03/2014,541.5,545.75,539.59,544.99,10081900
26/03/2014,546.52,549,538.86,539.78,10706000
